opportunity_id,player_name,role,roe,roe_tier,frame,x,y,ball_land_x,ball_land_y,flight_time_s
2023121001_595_52607,Jordan Fuller,SINGLE_HIGH,-24.83,Low,28,75.21,51.15,106.0,26.42,3.1
2023121001_595_52607,Jordan Fuller,SINGLE_HIGH,-24.83,Low,29,75.43,51.51,106.0,26.42,3.1
2023121001_595_52607,Jordan Fuller,SINGLE_HIGH,-24.83,Low,30,75.64,51.86,106.0,26.42,3.1
2023121001_595_52607,Jordan Fuller,SINGLE_HIGH,-24.83,Low,31,75.86,52.18,106.0,26.42,3.1
2023102200_2671_52627,Geno Stone,SINGLE_HIGH,-11.25,Low,1,71.69,27.94,71.48,46.95,1.7
2023102200_2671_52627,Geno Stone,SINGLE_HIGH,-11.25,Low,2,71.86,27.42,71.48,46.95,1.7
2023102200_2671_52627,Geno Stone,SINGLE_HIGH,-11.25,Low,3,72.03,26.9,71.48,46.95,1.7
2023102200_2671_52627,Geno Stone,SINGLE_HIGH,-11.25,Low,4,72.21,26.38,71.48,46.95,1.7
2023102200_2671_52627,Geno Stone,SINGLE_HIGH,-11.25,Low,5,72.41,25.88,71.48,46.95,1.7
2023102200_2671_52627,Geno Stone,SINGLE_HIGH,-11.25,Low,6,72.62,25.4,71.48,46.95,1.7
2023102200_2671_52627,Geno Stone,SINGLE_HIGH,-11.25,Low,7,72.86,24.95,71.48,46.95,1.7
2023102200_2671_52627,Geno Stone,SINGLE_HIGH,-11.25,Low,8,73.12,24.54,71.48,46.95,1.7
2023102200_2671_52627,Geno Stone,SINGLE_HIGH,-11.25,Low,9,73.4,24.16,71.48,46.95,1.7
2023102200_2671_52627,Geno Stone,SINGLE_HIGH,-11.25,Low,10,73.71,23.81,71.48,46.95,1.7
2023102200_2671_52627,Geno Stone,SINGLE_HIGH,-11.25,Low,11,74.02,23.52,71.48,46.95,1.7
2023102200_2671_52627,Geno Stone,SINGLE_HIGH,-11.25,Low,12,74.33,23.27,71.48,46.95,1.7
2023102200_2671_52627,Geno Stone,SINGLE_HIGH,-11.25,Low,13,74.64,23.08,71.48,46.95,1.7
2023102200_2671_52627,Geno Stone,SINGLE_HIGH,-11.25,Low,14,74.95,22.92,71.48,46.95,1.7
2023102200_2671_52627,Geno Stone,SINGLE_HIGH,-11.25,Low,15,75.26,22.81,71.48,46.95,1.7
2023102200_2671_52627,Geno Stone,SINGLE_HIGH,-11.25,Low,16,75.56,22.74,71.48,46.95,1.7
2023102200_2671_52627,Geno Stone,SINGLE_HIGH,-11.25,Low,17,75.86,22.71,71.48,46.95,1.7
2023110600_2247_52594,Alohi Gilman,SPLIT_DEEP,-8.73,Low,1,44.45,29.4,55.19,49.36,2.4
2023110600_2247_52594,Alohi Gilman,SPLIT_DEEP,-8.73,Low,2,44.52,29.4,55.19,49.36,2.4
2023110600_2247_52594,Alohi Gilman,SPLIT_DEEP,-8.73,Low,3,44.65,29.39,55.19,49.36,2.4
2023110600_2247_52594,Alohi Gilman,SPLIT_DEEP,-8.73,Low,4,44.84,29.37,55.19,49.36,2.4
2023110600_2247_52594,Alohi Gilman,SPLIT_DEEP,-8.73,Low,5,45.08,29.34,55.19,49.36,2.4
2023110600_2247_52594,Alohi Gilman,SPLIT_DEEP,-8.73,Low,6,45.38,29.29,55.19,49.36,2.4
2023110600_2247_52594,Alohi Gilman,SPLIT_DEEP,-8.73,Low,7,45.72,29.24,55.19,49.36,2.4
2023110600_2247_52594,Alohi Gilman,SPLIT_DEEP,-8.73,Low,8,46.09,29.2,55.19,49.36,2.4
2023110600_2247_52594,Alohi Gilman,SPLIT_DEEP,-8.73,Low,9,46.5,29.16,55.19,49.36,2.4
2023110600_2247_52594,Alohi Gilman,SPLIT_DEEP,-8.73,Low,10,46.92,29.14,55.19,49.36,2.4
2023110600_2247_52594,Alohi Gilman,SPLIT_DEEP,-8.73,Low,11,47.36,29.14,55.19,49.36,2.4
2023110600_2247_52594,Alohi Gilman,SPLIT_DEEP,-8.73,Low,12,47.82,29.17,55.19,49.36,2.4
2023110600_2247_52594,Alohi Gilman,SPLIT_DEEP,-8.73,Low,13,48.29,29.24,55.19,49.36,2.4
2023110600_2247_52594,Alohi Gilman,SPLIT_DEEP,-8.73,Low,14,48.76,29.34,55.19,49.36,2.4
2023110600_2247_52594,Alohi Gilman,SPLIT_DEEP,-8.73,Low,15,49.24,29.5,55.19,49.36,2.4
2023110600_2247_52594,Alohi Gilman,SPLIT_DEEP,-8.73,Low,16,49.73,29.71,55.19,49.36,2.4
2023110600_2247_52594,Alohi Gilman,SPLIT_DEEP,-8.73,Low,17,50.22,29.97,55.19,49.36,2.4
2023110600_2247_52594,Alohi Gilman,SPLIT_DEEP,-8.73,Low,18,50.72,30.27,55.19,49.36,2.4
2023110600_2247_52594,Alohi Gilman,SPLIT_DEEP,-8.73,Low,19,51.2,30.62,55.19,49.36,2.4
2023110600_2247_52594,Alohi Gilman,SPLIT_DEEP,-8.73,Low,20,51.68,31.0,55.19,49.36,2.4
2023110600_2247_52594,Alohi Gilman,SPLIT_DEEP,-8.73,Low,21,52.14,31.42,55.19,49.36,2.4
2023110600_2247_52594,Alohi Gilman,SPLIT_DEEP,-8.73,Low,22,52.6,31.86,55.19,49.36,2.4
2023110600_2247_52594,Alohi Gilman,SPLIT_DEEP,-8.73,Low,23,53.03,32.32,55.19,49.36,2.4
2023110600_2247_52594,Alohi Gilman,SPLIT_DEEP,-8.73,Low,24,53.46,32.79,55.19,49.36,2.4
2023123112_2276_46086,Derwin James,SPLIT_DEEP,-7.32,Low,1,62.06,20.59,54.4,14.12,1.4
2023123112_2276_46086,Derwin James,SPLIT_DEEP,-7.32,Low,2,62.77,20.36,54.4,14.12,1.4
2023123112_2276_46086,Derwin James,SPLIT_DEEP,-7.32,Low,3,63.46,20.12,54.4,14.12,1.4
2023123112_2276_46086,Derwin James,SPLIT_DEEP,-7.32,Low,4,64.14,19.85,54.4,14.12,1.4
2023123112_2276_46086,Derwin James,SPLIT_DEEP,-7.32,Low,5,64.8,19.55,54.4,14.12,1.4
2023123112_2276_46086,Derwin James,SPLIT_DEEP,-7.32,Low,6,65.43,19.21,54.4,14.12,1.4
2023123112_2276_46086,Derwin James,SPLIT_DEEP,-7.32,Low,7,66.03,18.85,54.4,14.12,1.4
2023123112_2276_46086,Derwin James,SPLIT_DEEP,-7.32,Low,8,66.58,18.45,54.4,14.12,1.4
2023123112_2276_46086,Derwin James,SPLIT_DEEP,-7.32,Low,9,67.08,18.02,54.4,14.12,1.4
2023123112_2276_46086,Derwin James,SPLIT_DEEP,-7.32,Low,10,67.52,17.56,54.4,14.12,1.4
2023123112_2276_46086,Derwin James,SPLIT_DEEP,-7.32,Low,11,67.9,17.08,54.4,14.12,1.4
2023123112_2276_46086,Derwin James,SPLIT_DEEP,-7.32,Low,12,68.2,16.59,54.4,14.12,1.4
2023123112_2276_46086,Derwin James,SPLIT_DEEP,-7.32,Low,13,68.44,16.08,54.4,14.12,1.4
2023123112_2276_46086,Derwin James,SPLIT_DEEP,-7.32,Low,14,68.62,15.57,54.4,14.12,1.4
2023092400_2711_52627,Geno Stone,SPLIT_DEEP,-6.24,Low,1,53.97,46.36,61.16,53.08,1.8
2023092400_2711_52627,Geno Stone,SPLIT_DEEP,-6.24,Low,2,53.69,46.59,61.16,53.08,1.8
2023092400_2711_52627,Geno Stone,SPLIT_DEEP,-6.24,Low,3,53.37,46.81,61.16,53.08,1.8
2023092400_2711_52627,Geno Stone,SPLIT_DEEP,-6.24,Low,4,53.03,47.03,61.16,53.08,1.8
2023092400_2711_52627,Geno Stone,SPLIT_DEEP,-6.24,Low,5,52.68,47.27,61.16,53.08,1.8
2023092400_2711_52627,Geno Stone,SPLIT_DEEP,-6.24,Low,6,52.33,47.5,61.16,53.08,1.8
2023092400_2711_52627,Geno Stone,SPLIT_DEEP,-6.24,Low,7,51.99,47.72,61.16,53.08,1.8
2023092400_2711_52627,Geno Stone,SPLIT_DEEP,-6.24,Low,8,51.69,47.94,61.16,53.08,1.8
2023092400_2711_52627,Geno Stone,SPLIT_DEEP,-6.24,Low,9,51.42,48.16,61.16,53.08,1.8
2023092400_2711_52627,Geno Stone,SPLIT_DEEP,-6.24,Low,10,51.19,48.38,61.16,53.08,1.8
2023092400_2711_52627,Geno Stone,SPLIT_DEEP,-6.24,Low,11,51.01,48.59,61.16,53.08,1.8
2023092400_2711_52627,Geno Stone,SPLIT_DEEP,-6.24,Low,12,50.88,48.79,61.16,53.08,1.8
2023092400_2711_52627,Geno Stone,SPLIT_DEEP,-6.24,Low,13,50.79,48.97,61.16,53.08,1.8
2023092400_2711_52627,Geno Stone,SPLIT_DEEP,-6.24,Low,14,50.74,49.11,61.16,53.08,1.8
2023092400_2711_52627,Geno Stone,SPLIT_DEEP,-6.24,Low,15,50.72,49.25,61.16,53.08,1.8
2023092400_2711_52627,Geno Stone,SPLIT_DEEP,-6.24,Low,16,50.73,49.36,61.16,53.08,1.8
2023092400_2711_52627,Geno Stone,SPLIT_DEEP,-6.24,Low,17,50.72,49.46,61.16,53.08,1.8
2023092400_2711_52627,Geno Stone,SPLIT_DEEP,-6.24,Low,18,50.72,49.57,61.16,53.08,1.8
2023111903_1728_52594,Alohi Gilman,SPLIT_DEEP,-5.84,Low,1,47.72,39.23,53.09,27.47,1.1
2023111903_1728_52594,Alohi Gilman,SPLIT_DEEP,-5.84,Low,2,47.47,39.73,53.09,27.47,1.1
2023111903_1728_52594,Alohi Gilman,SPLIT_DEEP,-5.84,Low,3,47.24,40.22,53.09,27.47,1.1
2023111903_1728_52594,Alohi Gilman,SPLIT_DEEP,-5.84,Low,4,47.05,40.68,53.09,27.47,1.1
2023111903_1728_52594,Alohi Gilman,SPLIT_DEEP,-5.84,Low,5,46.89,41.12,53.09,27.47,1.1
2023111903_1728_52594,Alohi Gilman,SPLIT_DEEP,-5.84,Low,6,46.77,41.52,53.09,27.47,1.1
2023111903_1728_52594,Alohi Gilman,SPLIT_DEEP,-5.84,Low,7,46.68,41.88,53.09,27.47,1.1
2023111903_1728_52594,Alohi Gilman,SPLIT_DEEP,-5.84,Low,8,46.64,42.2,53.09,27.47,1.1
2023111903_1728_52594,Alohi Gilman,SPLIT_DEEP,-5.84,Low,9,46.64,42.47,53.09,27.47,1.1
2023111903_1728_52594,Alohi Gilman,SPLIT_DEEP,-5.84,Low,10,46.68,42.68,53.09,27.47,1.1
2023111903_1728_52594,Alohi Gilman,SPLIT_DEEP,-5.84,Low,11,46.77,42.84,53.09,27.47,1.1
2023112603_3222_54704,Rodney Thomas,SPLIT_DEEP,-5.18,Low,1,92.47,20.57,84.19,4.48,1.6
2023112603_3222_54704,Rodney Thomas,SPLIT_DEEP,-5.18,Low,2,92.75,20.52,84.19,4.48,1.6
2023112603_3222_54704,Rodney Thomas,SPLIT_DEEP,-5.18,Low,3,93.01,20.49,84.19,4.48,1.6
2023112603_3222_54704,Rodney Thomas,SPLIT_DEEP,-5.18,Low,4,93.25,20.48,84.19,4.48,1.6
2023112603_3222_54704,Rodney Thomas,SPLIT_DEEP,-5.18,Low,5,93.46,20.51,84.19,4.48,1.6
2023112603_3222_54704,Rodney Thomas,SPLIT_DEEP,-5.18,Low,6,93.65,20.56,84.19,4.48,1.6
2023112603_3222_54704,Rodney Thomas,SPLIT_DEEP,-5.18,Low,7,93.82,20.61,84.19,4.48,1.6
2023112603_3222_54704,Rodney Thomas,SPLIT_DEEP,-5.18,Low,8,93.96,20.67,84.19,4.48,1.6
2023112603_3222_54704,Rodney Thomas,SPLIT_DEEP,-5.18,Low,9,94.08,20.74,84.19,4.48,1.6
2023112603_3222_54704,Rodney Thomas,SPLIT_DEEP,-5.18,Low,10,94.17,20.81,84.19,4.48,1.6
2023112603_3222_54704,Rodney Thomas,SPLIT_DEEP,-5.18,Low,11,94.25,20.86,84.19,4.48,1.6
2023112603_3222_54704,Rodney Thomas,SPLIT_DEEP,-5.18,Low,12,94.32,20.9,84.19,4.48,1.6
2023112603_3222_54704,Rodney Thomas,SPLIT_DEEP,-5.18,Low,13,94.38,20.91,84.19,4.48,1.6
2023112603_3222_54704,Rodney Thomas,SPLIT_DEEP,-5.18,Low,14,94.44,20.91,84.19,4.48,1.6
2023112603_3222_54704,Rodney Thomas,SPLIT_DEEP,-5.18,Low,15,94.49,20.88,84.19,4.48,1.6
2023112603_3222_54704,Rodney Thomas,SPLIT_DEEP,-5.18,Low,16,94.55,20.83,84.19,4.48,1.6
2023121001_3713_52607,Jordan Fuller,SPLIT_DEEP,-4.81,Low,1,52.81,21.32,47.52,14.79,1.0
2023121001_3713_52607,Jordan Fuller,SPLIT_DEEP,-4.81,Low,2,53.28,21.3,47.52,14.79,1.0
2023121001_3713_52607,Jordan Fuller,SPLIT_DEEP,-4.81,Low,3,53.79,21.23,47.52,14.79,1.0
2023121001_3713_52607,Jordan Fuller,SPLIT_DEEP,-4.81,Low,4,54.32,21.11,47.52,14.79,1.0
2023121001_3713_52607,Jordan Fuller,SPLIT_DEEP,-4.81,Low,5,54.88,20.92,47.52,14.79,1.0
2023121001_3713_52607,Jordan Fuller,SPLIT_DEEP,-4.81,Low,6,55.46,20.68,47.52,14.79,1.0
2023121001_3713_52607,Jordan Fuller,SPLIT_DEEP,-4.81,Low,7,56.06,20.41,47.52,14.79,1.0
2023121001_3713_52607,Jordan Fuller,SPLIT_DEEP,-4.81,Low,8,56.67,20.09,47.52,14.79,1.0
2023121001_3713_52607,Jordan Fuller,SPLIT_DEEP,-4.81,Low,9,57.28,19.73,47.52,14.79,1.0
2023121001_3713_52607,Jordan Fuller,SPLIT_DEEP,-4.81,Low,10,57.91,19.35,47.52,14.79,1.0
2023102900_1650_54502,Jalen Pitre,SINGLE_HIGH,-4.33,Low,1,98.07,24.27,88.27,24.21,1.1
2023102900_1650_54502,Jalen Pitre,SINGLE_HIGH,-4.33,Low,2,98.54,24.3,88.27,24.21,1.1
2023102900_1650_54502,Jalen Pitre,SINGLE_HIGH,-4.33,Low,3,98.98,24.29,88.27,24.21,1.1
2023102900_1650_54502,Jalen Pitre,SINGLE_HIGH,-4.33,Low,4,99.39,24.23,88.27,24.21,1.1
2023102900_1650_54502,Jalen Pitre,SINGLE_HIGH,-4.33,Low,5,99.76,24.14,88.27,24.21,1.1
2023102900_1650_54502,Jalen Pitre,SINGLE_HIGH,-4.33,Low,6,100.08,24.01,88.27,24.21,1.1
2023102900_1650_54502,Jalen Pitre,SINGLE_HIGH,-4.33,Low,7,100.33,23.83,88.27,24.21,1.1
2023102900_1650_54502,Jalen Pitre,SINGLE_HIGH,-4.33,Low,8,100.53,23.6,88.27,24.21,1.1
2023102900_1650_54502,Jalen Pitre,SINGLE_HIGH,-4.33,Low,9,100.67,23.33,88.27,24.21,1.1
2023102900_1650_54502,Jalen Pitre,SINGLE_HIGH,-4.33,Low,10,100.74,23.03,88.27,24.21,1.1
2023102900_1650_54502,Jalen Pitre,SINGLE_HIGH,-4.33,Low,11,100.76,22.7,88.27,24.21,1.1
2023122100_3321_52607,Jordan Fuller,SPLIT_DEEP,-3.94,Low,1,54.94,13.6,49.11,21.3,0.9
2023122100_3321_52607,Jordan Fuller,SPLIT_DEEP,-3.94,Low,2,54.7,13.2,49.11,21.3,0.9
2023122100_3321_52607,Jordan Fuller,SPLIT_DEEP,-3.94,Low,3,54.44,12.79,49.11,21.3,0.9
2023122100_3321_52607,Jordan Fuller,SPLIT_DEEP,-3.94,Low,4,54.16,12.36,49.11,21.3,0.9
2023122100_3321_52607,Jordan Fuller,SPLIT_DEEP,-3.94,Low,5,53.86,11.93,49.11,21.3,0.9
2023122100_3321_52607,Jordan Fuller,SPLIT_DEEP,-3.94,Low,6,53.54,11.5,49.11,21.3,0.9
2023122100_3321_52607,Jordan Fuller,SPLIT_DEEP,-3.94,Low,7,53.21,11.08,49.11,21.3,0.9
2023122100_3321_52607,Jordan Fuller,SPLIT_DEEP,-3.94,Low,8,52.86,10.68,49.11,21.3,0.9
2023122100_3321_52607,Jordan Fuller,SPLIT_DEEP,-3.94,Low,9,52.52,10.29,49.11,21.3,0.9
2023121602_1948_43387,Justin Simmons,SINGLE_HIGH,-3.63,Low,1,110.41,21.23,101.28,21.7,0.8
2023121602_1948_43387,Justin Simmons,SINGLE_HIGH,-3.63,Low,2,110.71,21.12,101.28,21.7,0.8
2023121602_1948_43387,Justin Simmons,SINGLE_HIGH,-3.63,Low,3,110.98,20.99,101.28,21.7,0.8
2023121602_1948_43387,Justin Simmons,SINGLE_HIGH,-3.63,Low,4,111.23,20.87,101.28,21.7,0.8
2023121602_1948_43387,Justin Simmons,SINGLE_HIGH,-3.63,Low,5,111.46,20.77,101.28,21.7,0.8
2023121602_1948_43387,Justin Simmons,SINGLE_HIGH,-3.63,Low,6,111.65,20.7,101.28,21.7,0.8
2023121602_1948_43387,Justin Simmons,SINGLE_HIGH,-3.63,Low,7,111.81,20.67,101.28,21.7,0.8
2023121602_1948_43387,Justin Simmons,SINGLE_HIGH,-3.63,Low,8,111.93,20.68,101.28,21.7,0.8
2023091000_3078_46123,Jessie Bates,SINGLE_HIGH,-3.36,Low,1,74.59,25.19,87.06,3.03,2.7
2023091000_3078_46123,Jessie Bates,SINGLE_HIGH,-3.36,Low,2,75.16,25.15,87.06,3.03,2.7
2023091000_3078_46123,Jessie Bates,SINGLE_HIGH,-3.36,Low,3,75.75,25.08,87.06,3.03,2.7
2023091000_3078_46123,Jessie Bates,SINGLE_HIGH,-3.36,Low,4,76.35,24.95,87.06,3.03,2.7
2023091000_3078_46123,Jessie Bates,SINGLE_HIGH,-3.36,Low,5,76.96,24.78,87.06,3.03,2.7
2023091000_3078_46123,Jessie Bates,SINGLE_HIGH,-3.36,Low,6,77.58,24.56,87.06,3.03,2.7
2023091000_3078_46123,Jessie Bates,SINGLE_HIGH,-3.36,Low,7,78.21,24.29,87.06,3.03,2.7
2023091000_3078_46123,Jessie Bates,SINGLE_HIGH,-3.36,Low,8,78.85,23.97,87.06,3.03,2.7
2023091000_3078_46123,Jessie Bates,SINGLE_HIGH,-3.36,Low,9,79.49,23.62,87.06,3.03,2.7
2023091000_3078_46123,Jessie Bates,SINGLE_HIGH,-3.36,Low,10,80.13,23.23,87.06,3.03,2.7
2023091000_3078_46123,Jessie Bates,SINGLE_HIGH,-3.36,Low,11,80.77,22.8,87.06,3.03,2.7
2023091000_3078_46123,Jessie Bates,SINGLE_HIGH,-3.36,Low,12,81.39,22.34,87.06,3.03,2.7
2023091000_3078_46123,Jessie Bates,SINGLE_HIGH,-3.36,Low,13,82.01,21.84,87.06,3.03,2.7
2023091000_3078_46123,Jessie Bates,SINGLE_HIGH,-3.36,Low,14,82.62,21.32,87.06,3.03,2.7
2023091000_3078_46123,Jessie Bates,SINGLE_HIGH,-3.36,Low,15,83.2,20.76,87.06,3.03,2.7
2023091000_3078_46123,Jessie Bates,SINGLE_HIGH,-3.36,Low,16,83.78,20.18,87.06,3.03,2.7
2023091000_3078_46123,Jessie Bates,SINGLE_HIGH,-3.36,Low,17,84.34,19.58,87.06,3.03,2.7
2023091000_3078_46123,Jessie Bates,SINGLE_HIGH,-3.36,Low,18,84.88,18.97,87.06,3.03,2.7
2023091000_3078_46123,Jessie Bates,SINGLE_HIGH,-3.36,Low,19,85.41,18.33,87.06,3.03,2.7
2023091000_3078_46123,Jessie Bates,SINGLE_HIGH,-3.36,Low,20,85.93,17.69,87.06,3.03,2.7
2023091000_3078_46123,Jessie Bates,SINGLE_HIGH,-3.36,Low,21,86.43,17.03,87.06,3.03,2.7
2023091000_3078_46123,Jessie Bates,SINGLE_HIGH,-3.36,Low,22,86.92,16.37,87.06,3.03,2.7
2023091000_3078_46123,Jessie Bates,SINGLE_HIGH,-3.36,Low,23,87.41,15.69,87.06,3.03,2.7
2023091000_3078_46123,Jessie Bates,SINGLE_HIGH,-3.36,Low,24,87.89,15.02,87.06,3.03,2.7
2023091000_3078_46123,Jessie Bates,SINGLE_HIGH,-3.36,Low,25,88.35,14.35,87.06,3.03,2.7
2023091000_3078_46123,Jessie Bates,SINGLE_HIGH,-3.36,Low,26,88.82,13.68,87.06,3.03,2.7
2023091000_3078_46123,Jessie Bates,SINGLE_HIGH,-3.36,Low,27,89.29,13.01,87.06,3.03,2.7
2023100811_2513_44827,Malik Hooker,SINGLE_HIGH,-3.01,Low,1,47.69,19.49,47.13,32.15,1.2
2023100811_2513_44827,Malik Hooker,SINGLE_HIGH,-3.01,Low,2,48.03,19.21,47.13,32.15,1.2
2023100811_2513_44827,Malik Hooker,SINGLE_HIGH,-3.01,Low,3,48.39,18.97,47.13,32.15,1.2
2023100811_2513_44827,Malik Hooker,SINGLE_HIGH,-3.01,Low,4,48.78,18.8,47.13,32.15,1.2
2023100811_2513_44827,Malik Hooker,SINGLE_HIGH,-3.01,Low,5,49.19,18.67,47.13,32.15,1.2
2023100811_2513_44827,Malik Hooker,SINGLE_HIGH,-3.01,Low,6,49.61,18.59,47.13,32.15,1.2
2023100811_2513_44827,Malik Hooker,SINGLE_HIGH,-3.01,Low,7,50.04,18.57,47.13,32.15,1.2
2023100811_2513_44827,Malik Hooker,SINGLE_HIGH,-3.01,Low,8,50.49,18.6,47.13,32.15,1.2
2023100811_2513_44827,Malik Hooker,SINGLE_HIGH,-3.01,Low,9,50.93,18.69,47.13,32.15,1.2
2023100811_2513_44827,Malik Hooker,SINGLE_HIGH,-3.01,Low,10,51.37,18.82,47.13,32.15,1.2
2023100811_2513_44827,Malik Hooker,SINGLE_HIGH,-3.01,Low,11,51.8,19.01,47.13,32.15,1.2
2023100811_2513_44827,Malik Hooker,SINGLE_HIGH,-3.01,Low,12,52.21,19.25,47.13,32.15,1.2
2023110502_3507_42543,Quandre Diggs,SINGLE_HIGH,-2.62,Low,1,108.0,19.08,105.36,2.11,1.8
2023110502_3507_42543,Quandre Diggs,SINGLE_HIGH,-2.62,Low,2,108.35,18.78,105.36,2.11,1.8
2023110502_3507_42543,Quandre Diggs,SINGLE_HIGH,-2.62,Low,3,108.7,18.47,105.36,2.11,1.8
2023110502_3507_42543,Quandre Diggs,SINGLE_HIGH,-2.62,Low,4,109.06,18.15,105.36,2.11,1.8
2023110502_3507_42543,Quandre Diggs,SINGLE_HIGH,-2.62,Low,5,109.41,17.83,105.36,2.11,1.8
2023110502_3507_42543,Quandre Diggs,SINGLE_HIGH,-2.62,Low,6,109.73,17.49,105.36,2.11,1.8
2023110502_3507_42543,Quandre Diggs,SINGLE_HIGH,-2.62,Low,7,110.05,17.14,105.36,2.11,1.8
2023110502_3507_42543,Quandre Diggs,SINGLE_HIGH,-2.62,Low,8,110.35,16.78,105.36,2.11,1.8
2023110502_3507_42543,Quandre Diggs,SINGLE_HIGH,-2.62,Low,9,110.63,16.4,105.36,2.11,1.8
2023110502_3507_42543,Quandre Diggs,SINGLE_HIGH,-2.62,Low,10,110.88,16.0,105.36,2.11,1.8
2023110502_3507_42543,Quandre Diggs,SINGLE_HIGH,-2.62,Low,11,111.11,15.6,105.36,2.11,1.8
2023110502_3507_42543,Quandre Diggs,SINGLE_HIGH,-2.62,Low,12,111.3,15.18,105.36,2.11,1.8
2023110502_3507_42543,Quandre Diggs,SINGLE_HIGH,-2.62,Low,13,111.46,14.75,105.36,2.11,1.8
2023110502_3507_42543,Quandre Diggs,SINGLE_HIGH,-2.62,Low,14,111.58,14.31,105.36,2.11,1.8
2023110502_3507_42543,Quandre Diggs,SINGLE_HIGH,-2.62,Low,15,111.67,13.87,105.36,2.11,1.8
2023110502_3507_42543,Quandre Diggs,SINGLE_HIGH,-2.62,Low,16,111.74,13.44,105.36,2.11,1.8
2023110502_3507_42543,Quandre Diggs,SINGLE_HIGH,-2.62,Low,17,111.78,13.01,105.36,2.11,1.8
2023110502_3507_42543,Quandre Diggs,SINGLE_HIGH,-2.62,Low,18,111.8,12.61,105.36,2.11,1.8
2023100107_4204_52453,Antoine Winfield Jr.,SINGLE_HIGH,-2.45,Low,1,60.02,30.81,51.15,28.17,1.2
2023100107_4204_52453,Antoine Winfield Jr.,SINGLE_HIGH,-2.45,Low,2,60.45,30.69,51.15,28.17,1.2
2023100107_4204_52453,Antoine Winfield Jr.,SINGLE_HIGH,-2.45,Low,3,60.85,30.6,51.15,28.17,1.2
2023100107_4204_52453,Antoine Winfield Jr.,SINGLE_HIGH,-2.45,Low,4,61.21,30.51,51.15,28.17,1.2
