opportunity_id,game_id,play_id,nfl_id,player_name,player_position,role_proxy,n_deep_safeties,depth,lateral_from_mid,team_coverage_man_zone,team_coverage_type,num_frames_output,flight_time_s,ball_land_x,ball_land_y,absolute_yardline_number,play_direction,pass_result,pass_length,route_of_targeted_receiver,down,yards_to_go,offense_formation,receiver_alignment,expected_points_added,in_study,frozen_version
2023091000_661_46123,2023091000,661,46123,Jessie Bates,SS,SINGLE_HIGH,1,13.629999999999995,3.9599999999999977,ZONE_COVERAGE,COVER_6_ZONE,10,1.0,91.1500015258789,30.0699996948242,102,left,IN,12,IN,2,16,SHOTGUN,2x2,-4.18603467824869,True,deep-v1
2023091000_842_46123,2023091000,842,46123,Jessie Bates,SS,SPLIT_DEEP,2,12.490000000000002,3.8999999999999986,ZONE_COVERAGE,COVER_4_ZONE,10,1.0,48.689998626709,16.4699993133545,35,right,I,17,IN,2,10,PISTOL,3x1,-0.900782882701606,True,deep-v1
2023091000_842_53469,2023091000,842,53469,Richie Grant,SS,SPLIT_DEEP,2,12.880000000000004,9.75,ZONE_COVERAGE,COVER_4_ZONE,10,1.0,48.689998626709,16.4699993133545,35,right,I,17,IN,2,10,PISTOL,3x1,-0.900782882701606,False,deep-v1
2023091000_1046_43350,2023091000,1046,43350,Vonn Bell,SS,SPLIT_DEEP,2,11.28,9.730000000000004,ZONE_COVERAGE,COVER_6_ZONE,8,0.8,89.1999969482422,37.5,95,left,C,9,SLANT,3,10,SHOTGUN,2x2,-0.254713372793049,False,deep-v1
2023091000_1325_53469,2023091000,1325,53469,Richie Grant,SS,SPLIT_DEEP,2,12.319999999999991,8.800000000000004,MAN_COVERAGE,COVER_1_MAN,14,1.4,76.5,50.3899993896484,69,right,C,9,OUT,3,8,SHOTGUN,2x2,1.97889166313689,False,deep-v1
2023091000_1743_46123,2023091000,1743,46123,Jessie Bates,SS,SPLIT_DEEP,2,13.72,7.75,ZONE_COVERAGE,COVER_2_ZONE,12,1.2,39.5099983215332,22.2900009155273,27,right,I,16,IN,3,10,SHOTGUN,3x1,-0.813424090854824,True,deep-v1
2023091000_2101_46123,2023091000,2101,46123,Jessie Bates,SS,SINGLE_HIGH,1,10.54,4.810000000000002,ZONE_COVERAGE,COVER_3_ZONE,10,1.0,35.5999984741211,36.6300010681152,43,left,C,8,HITCH,3,10,SHOTGUN,3x1,-0.475992974359542,True,deep-v1
2023091000_2389_46123,2023091000,2389,46123,Jessie Bates,SS,SINGLE_HIGH,1,13.78,1.9400000000000013,MAN_COVERAGE,COVER_1_MAN,11,1.1,58.3499984741211,30.3600006103516,70,left,IN,11,IN,3,6,SHOTGUN,3x1,-4.84897045232356,True,deep-v1
2023091000_3078_46123,2023091000,3078,46123,Jessie Bates,SS,SINGLE_HIGH,1,13.93,3.9399999999999977,ZONE_COVERAGE,COVER_3_ZONE,27,2.7,87.0599975585938,3.02999997138977,46,right,I,44,GO,1,10,PISTOL,2x2,-0.550715484423563,True,deep-v1
2023091000_3533_43350,2023091000,3533,43350,Vonn Bell,SS,SINGLE_HIGH,1,12.810000000000002,0.5199999999999996,MAN_COVERAGE,COVER_1_MAN,23,2.3,20.6299991607666,41.7099990844727,51,left,C,34,CORNER,2,7,PISTOL,2x1,2.68812167091528,False,deep-v1
2023091000_3916_52542,2023091000,3916,52542,Jaylinn Hawkins,FS,SPLIT_DEEP,2,13.019999999999996,10.4,ZONE_COVERAGE,COVER_4_ZONE,14,1.4,58.3300018310547,51.560001373291,51,right,C,8,OUT,1,10,EMPTY,3x2,0.509672221494839,False,deep-v1
2023091001_893_54502,2023091001,893,54502,Jalen Pitre,FS,SINGLE_HIGH,1,14.480000000000004,4.280000000000001,ZONE_COVERAGE,COVER_2_ZONE,17,1.7,94.4499969482422,48.0299987792969,78,right,C,19,GO,3,5,SHOTGUN,2x2,1.88695737428498,True,deep-v1
2023091001_1042_44854,2023091001,1042,44854,Marcus Williams,FS,SPLIT_DEEP,2,14.22,7.899999999999999,ZONE_COVERAGE,COVER_4_ZONE,12,1.2,64.8899993896484,15.0500001907349,82,left,I,19,GO,2,7,I_FORM,2x1,-0.902623100671917,False,deep-v1
2023091001_1042_52627,2023091001,1042,52627,Geno Stone,FS,SPLIT_DEEP,2,12.180000000000009,2.710000000000001,ZONE_COVERAGE,COVER_4_ZONE,12,1.2,64.8899993896484,15.0500001907349,82,left,I,19,GO,2,7,I_FORM,2x1,-0.902623100671917,True,deep-v1
2023091001_1470_44854,2023091001,1470,44854,Marcus Williams,FS,SPLIT_DEEP,2,12.159999999999997,6.009999999999998,ZONE_COVERAGE,COVER_4_ZONE,10,1.0,57.6199989318848,39.189998626709,57,right,C,3,FLAT,1,10,SINGLEBACK,3x1,0.0752642074367031,False,deep-v1
2023091001_1574_54479,2023091001,1574,54479,Kyle Hamilton,SS,SPLIT_DEEP,2,12.290000000000006,8.049999999999997,ZONE_COVERAGE,COVER_6_ZONE,8,0.8,85.629997253418,21.2299995422363,75,right,C,13,IN,2,5,SINGLEBACK,3x1,1.10662470466923,False,deep-v1
2023091001_2033_52627,2023091001,2033,52627,Geno Stone,FS,SPLIT_DEEP,2,10.400000000000006,9.940000000000005,ZONE_COVERAGE,COVER_3_ZONE,10,1.0,69.1399993896484,46.5699996948242,73,right,I,-4,SCREEN,2,10,EMPTY,3x2,-0.408843231853098,True,deep-v1
2023091001_2759_54479,2023091001,2759,54479,Kyle Hamilton,SS,SPLIT_DEEP,2,13.89,8.200000000000003,ZONE_COVERAGE,COVER_6_ZONE,11,1.1,69.0899963378906,36.0999984741211,83,left,C,15,HITCH,3,16,SHOTGUN,2x1,0.823464720044285,False,deep-v1
2023091001_3086_52627,2023091001,3086,52627,Geno Stone,FS,SINGLE_HIGH,1,13.54,1.7600000000000016,MAN_COVERAGE,COVER_1_MAN,8,0.8,69.3300018310547,29.0799999237061,77,left,C,10,SLANT,3,2,SHOTGUN,2x2,1.68849259137642,True,deep-v1
2023091001_3216_52627,2023091001,3216,52627,Geno Stone,FS,SINGLE_HIGH,1,13.549999999999995,3.3099999999999987,ZONE_COVERAGE,COVER_3_ZONE,13,1.3,41.2299995422363,38.6100006103516,58,left,I,17,IN,3,16,SHOTGUN,3x1,-1.45949540112633,True,deep-v1
2023091001_3514_52627,2023091001,3514,52627,Geno Stone,FS,SPLIT_DEEP,2,10.430000000000009,4.900000000000002,ZONE_COVERAGE,COVER_4_ZONE,8,0.8,95.870002746582,37.4599990844727,91,right,I,6,OUT,2,19,EMPTY,3x2,-0.58711529878201,True,deep-v1
2023091001_3902_54479,2023091001,3902,54479,Kyle Hamilton,SS,SPLIT_DEEP,2,12.329999999999998,7.899999999999999,MAN_COVERAGE,COVER_1_MAN,10,1.0,39.9300003051758,21.2900009155273,31,right,C,13,IN,3,9,SHOTGUN,2x1,2.96377102646511,False,deep-v1
2023091001_4018_46122,2023091001,4018,46122,M.J. Stewart,FS,SPLIT_DEEP,2,11.89,6.309999999999999,MAN_COVERAGE,COVER_1_MAN,20,2.0,23.7199993133545,7.09000015258789,48,left,C,28,GO,3,6,SHOTGUN,3x1,2.87489696592093,False,deep-v1
2023091001_4018_52897,2023091001,4018,52897,Grayland Arnold,FS,SPLIT_DEEP,2,14.86,4.240000000000002,MAN_COVERAGE,COVER_1_MAN,20,2.0,23.7199993133545,7.09000015258789,48,left,C,28,GO,3,6,SHOTGUN,3x1,2.87489696592093,False,deep-v1
2023091001_4216_52627,2023091001,4216,52627,Geno Stone,FS,SINGLE_HIGH,1,12.119999999999996,8.149999999999999,MAN_COVERAGE,COVER_1_MAN,13,1.3,58.9199981689453,23.8799991607666,41,right,I,19,POST,2,4,SINGLEBACK,2x2,-0.415467645507306,True,deep-v1
2023091001_4239_52627,2023091001,4239,52627,Geno Stone,FS,SPLIT_DEEP,2,11.340000000000003,10.770000000000003,ZONE_COVERAGE,COVER_6_ZONE,15,1.5,52.7599983215332,50.439998626709,41,right,C,13,HITCH,3,4,SHOTGUN,2x2,1.43133433128241,True,deep-v1
2023091001_4639_52627,2023091001,4639,52627,Geno Stone,FS,SPLIT_DEEP,2,14.39,10.990000000000002,ZONE_COVERAGE,COVER_4_ZONE,8,0.8,45.4900016784668,38.560001373291,41,right,I,7,SLANT,3,3,SHOTGUN,3x1,-0.0834599398076534,True,deep-v1
2023091002_599_48026,2023091002,599,48026,Nick Scott,FS,SINGLE_HIGH,1,10.259999999999998,5.039999999999999,ZONE_COVERAGE,COVER_4_ZONE,25,2.5,13.75,40.060001373291,53,left,I,42,POST,2,4,WILDCAT,3x1,-0.884748834650964,False,deep-v1
2023091002_1412_38843,2023091002,1412,38843,Rodney McLeod,FS,SINGLE_HIGH,1,13.9,0.3299999999999983,MAN_COVERAGE,COVER_1_MAN,21,2.1,23.0100002288818,51.2999992370605,48,left,I,26,GO,3,3,EMPTY,3x2,-1.82880619144998,False,deep-v1
2023091002_2942_56405,2023091002,2942,56405,Ronnie Hickman Jr.,FS,SPLIT_DEEP,2,14.27,7.980000000000004,MAN_COVERAGE,COVER_1_MAN,21,2.1,18.4799995422363,51.8400001525879,43,left,I,28,GO,3,4,SHOTGUN,2x2,-1.51938174595125,False,deep-v1
2023091002_3253_52452,2023091002,3253,52452,Grant Delpit,SS,SPLIT_DEEP,2,12.760000000000003,7.420000000000002,ZONE_COVERAGE,COVER_2_ZONE,14,1.4,74.3899993896484,49.7799987792969,83,left,C,10,GO,2,8,SHOTGUN,3x1,1.23473834455945,False,deep-v1
2023091002_3337_52452,2023091002,3337,52452,Grant Delpit,SS,SPLIT_DEEP,2,13.93,5.100000000000001,ZONE_COVERAGE,COVER_2_ZONE,7,0.7,67.2099990844727,30.9799995422363,71,left,C,3,HITCH,3,8,EMPTY,3x2,-1.37817786401138,False,deep-v1
2023091002_3812_38843,2023091002,3812,38843,Rodney McLeod,FS,SPLIT_DEEP,2,13.509999999999998,3.8100000000000023,MAN_COVERAGE,COVER_1_MAN,21,2.1,65.2300033569336,53.4799995422363,41,right,I,24,GO,2,4,SHOTGUN,2x2,-0.791270023211837,False,deep-v1
2023091002_4036_38843,2023091002,4036,38843,Rodney McLeod,FS,SINGLE_HIGH,1,13.520000000000003,5.57,ZONE_COVERAGE,COVER_3_ZONE,18,1.8,64.5899963378906,6.07999992370605,50,right,I,15,OUT,3,8,EMPTY,3x2,-1.57566886628047,False,deep-v1
2023091003_410_54704,2023091003,410,54704,Rodney Thomas,FS,SINGLE_HIGH,1,16.239999999999995,3.860000000000003,ZONE_COVERAGE,COVER_3_ZONE,17,1.7,83.3499984741211,49.3699989318848,61,right,C,24,GO,1,10,SINGLEBACK,3x1,1.3671919015469,True,deep-v1
2023091003_1706_54704,2023091003,1706,54704,Rodney Thomas,FS,SINGLE_HIGH,1,13.18,2.900000000000002,ZONE_COVERAGE,COVER_3_ZONE,22,2.2,4.76000022888184,52.1300010681152,28,left,C,18,GO,2,12,SHOTGUN,3x1,2.9966107866494,True,deep-v1
2023091003_1782_53494,2023091003,1782,53494,Andre Cisco,FS,SINGLE_HIGH,1,13.47,5.439999999999998,ZONE_COVERAGE,COVER_3_ZONE,16,1.6,53.1300010681152,6.11999988555908,34,right,I,20,IN,1,10,SHOTGUN,3x1,-0.580665884073824,True,deep-v1
2023091003_1805_53494,2023091003,1805,53494,Andre Cisco,FS,SINGLE_HIGH,1,14.9,0.4600000000000008,ZONE_COVERAGE,COVER_3_ZONE,12,1.2,48.8899993896484,15.3800001144409,34,right,C,15,GO,2,10,SHOTGUN,2x2,2.71645128855016,True,deep-v1
2023091003_2369_53494,2023091003,2369,53494,Andre Cisco,FS,SINGLE_HIGH,1,14.47,3.5700000000000003,ZONE_COVERAGE,COVER_4_ZONE,7,0.7,32.8899993896484,33.7599983215332,39,left,C,8,SLANT,2,7,SHOTGUN,2x2,0.897129068267532,True,deep-v1
2023091003_3409_44926,2023091003,3409,44926,Rayshawn Jenkins,SS,SPLIT_DEEP,2,12.25,10.800000000000004,ZONE_COVERAGE,COVER_4_ZONE,11,1.1,51.1399993896484,35.4799995422363,34,right,I,16,POST,3,13,SHOTGUN,2x2,-1.06979733379558,True,deep-v1
2023091003_3645_53494,2023091003,3645,53494,Andre Cisco,FS,SINGLE_HIGH,1,14.950000000000005,3.34,ZONE_COVERAGE,COVER_3_ZONE,7,0.7,66.370002746582,24.4899997711182,60,right,I,7,SLANT,3,8,SHOTGUN,3x1,-1.88411189359613,True,deep-v1
2023091003_3998_44926,2023091003,3998,44926,Rayshawn Jenkins,SS,SINGLE_HIGH,1,13.32,4.450000000000003,ZONE_COVERAGE,COVER_2_ZONE,11,1.1,47.3400001525879,45.560001373291,35,right,IN,19,CORNER,2,10,SHOTGUN,2x2,-3.62645854789298,True,deep-v1
2023091003_4047_54704,2023091003,4047,54704,Rodney Thomas,FS,SINGLE_HIGH,1,12.32,2.990000000000002,ZONE_COVERAGE,COVER_3_ZONE,14,1.4,38.189998626709,3.72000002861023,51,left,C,15,CROSS,2,7,SHOTGUN,2x2,1.41877902811393,True,deep-v1
2023091003_4153_44926,2023091003,4153,44926,Rayshawn Jenkins,SS,SPLIT_DEEP,2,11.490000000000002,7.209999999999997,ZONE_COVERAGE,COVER_4_ZONE,9,0.9,50.7599983215332,20.4599990844727,38,right,C,14,POST,2,7,SHOTGUN,2x2,1.25541652587708,True,deep-v1
2023091003_4283_53494,2023091003,4283,53494,Andre Cisco,FS,SINGLE_HIGH,1,13.879999999999995,6.039999999999999,ZONE_COVERAGE,COVER_3_ZONE,9,0.9,80.4899978637695,14.710000038147,73,right,C,9,POST,3,1,SHOTGUN,2x2,1.01168435590807,True,deep-v1
2023091004_124_52453,2023091004,124,52453,Antoine Winfield Jr.,FS,SPLIT_DEEP,2,11.409999999999997,7.649999999999999,MAN_COVERAGE,COVER_2_MAN,10,1.0,78.379997253418,29.1299991607666,82,left,I,6,CROSS,3,7,EMPTY,3x2,-1.66863702377304,True,deep-v1
2023091004_196_53554,2023091004,196,53554,Camryn Bynum,FS,SINGLE_HIGH,1,14.869999999999996,2.919999999999998,ZONE_COVERAGE,COVER_3_ZONE,23,2.3,70.7200012207031,47.1699981689453,43,right,I,32,CORNER,2,10,SINGLEBACK,3x1,-1.00613362086006,True,deep-v1
2023091004_315_52453,2023091004,315,52453,Antoine Winfield Jr.,FS,SPLIT_DEEP,2,13.260000000000003,7.07,ZONE_COVERAGE,COVER_3_ZONE,10,1.0,87.3099975585938,39.0299987792969,94,left,C,7,SLANT,2,7,SHOTGUN,2x2,0.995207803323865,True,deep-v1
2023091004_365_52453,2023091004,365,52453,Antoine Winfield Jr.,FS,SINGLE_HIGH,1,16.159999999999997,1.0400000000000027,ZONE_COVERAGE,COVER_3_ZONE,14,1.4,67.4499969482422,17.2600002288818,85,left,C,20,GO,2,9,EMPTY,3x2,2.42144373478368,True,deep-v1
2023091004_821_38559,2023091004,821,38559,Harrison Smith,FS,SPLIT_DEEP,2,12.150000000000006,8.629999999999999,ZONE_COVERAGE,COVER_3_ZONE,9,0.9,102.779998779297,20.5799999237061,92,right,I,14,POST,1,10,SHOTGUN,2x2,-0.429613415384665,False,deep-v1
2023091004_1190_52453,2023091004,1190,52453,Antoine Winfield Jr.,FS,SINGLE_HIGH,1,13.32,6.389999999999997,ZONE_COVERAGE,COVER_2_ZONE,11,1.1,39.4900016784668,19.7800006866455,27,right,C,16,POST,1,10,SINGLEBACK,3x1,1.56578804296441,True,deep-v1
2023091004_1326_52453,2023091004,1326,52453,Antoine Winfield Jr.,FS,SINGLE_HIGH,1,11.239999999999997,0.7399999999999984,ZONE_COVERAGE,COVER_4_ZONE,23,2.3,106.959999084473,34.7700004577637,71,right,C,39,GO,3,11,SHOTGUN,3x1,5.50534625630826,True,deep-v1
2023091004_1540_52453,2023091004,1540,52453,Antoine Winfield Jr.,FS,SINGLE_HIGH,1,16.479999999999997,2.7900000000000027,MAN_COVERAGE,COVER_1_MAN,14,1.4,58.5200004577637,30.6200008392334,41,right,C,19,IN,1,10,SINGLEBACK,3x1,1.20885204873048,True,deep-v1
2023091004_2154_53554,2023091004,2154,53554,Camryn Bynum,FS,SINGLE_HIGH,1,12.73,4.060000000000002,ZONE_COVERAGE,COVER_3_ZONE,13,1.3,19.7700004577637,37.5,38,left,I,20,GO,1,10,SHOTGUN,3x1,-0.37277538725175,True,deep-v1
2023091004_2177_38559,2023091004,2177,38559,Harrison Smith,FS,SINGLE_HIGH,1,14.260000000000002,1.1899999999999975,ZONE_COVERAGE,COVER_2_ZONE,20,2.0,9.86999988555908,21.1700000762939,38,left,C,28,POST,2,10,SHOTGUN,2x2,3.61318860249594,False,deep-v1
2023091004_2312_46711,2023091004,2312,46711,Ryan Neal,SS,SPLIT_DEEP,2,12.549999999999995,8.09,MAN_COVERAGE,COVER_2_MAN,13,1.3,64.2900009155273,30.0,46,right,C,21,POST,1,10,SHOTGUN,2x2,2.35940104234032,False,deep-v1
2023091004_2312_52453,2023091004,2312,52453,Antoine Winfield Jr.,FS,SPLIT_DEEP,2,16.67,6.030000000000001,MAN_COVERAGE,COVER_2_MAN,13,1.3,64.2900009155273,30.0,46,right,C,21,POST,1,10,SHOTGUN,2x2,2.35940104234032,True,deep-v1
2023091004_2369_46711,2023091004,2369,46711,Ryan Neal,SS,SPLIT_DEEP,2,11.670000000000002,4.810000000000002,ZONE_COVERAGE,COVER_4_ZONE,9,0.9,106.150001525879,30.1299991607666,97,right,IN,11,POST,2,1,SHOTGUN,3x1,-4.58688461291604,False,deep-v1
2023091004_2936_46711,2023091004,2936,46711,Ryan Neal,SS,SPLIT_DEEP,2,10.78,7.739999999999998,ZONE_COVERAGE,COVER_3_ZONE,10,1.0,79.3399963378906,5.55000019073486,83,left,C,3,OUT,2,8,SHOTGUN,2x2,-0.0707443184219301,False,deep-v1
2023091004_3616_52453,2023091004,3616,52453,Antoine Winfield Jr.,FS,SPLIT_DEEP,2,12.46,6.02,ZONE_COVERAGE,COVER_3_ZONE,10,1.0,29.7099990844727,23.2000007629395,27,right,C,5,HITCH,2,13,SHOTGUN,2x2,-0.0443721381016076,True,deep-v1
2023091004_3849_53554,2023091004,3849,53554,Camryn Bynum,FS,SINGLE_HIGH,1,14.840000000000003,0.0,ZONE_COVERAGE,COVER_3_ZONE,10,1.0,59.4799995422363,34.6800003051758,72,left,C,14,POST,2,5,SHOTGUN,2x2,1.21497932064813,True,deep-v1
2023091005_301_47899,2023091005,301,47899,Amani Hooker,SS,SPLIT_DEEP,2,10.29,5.630000000000003,ZONE_COVERAGE,COVER_4_ZONE,22,2.2,58.7799987792969,52.4700012207031,35,right,C,25,GO,1,10,SHOTGUN,2x2,1.60666265757754,False,deep-v1
2023091005_721_40017,2023091005,721,40017,Tyrann Mathieu,FS,SPLIT_DEEP,2,10.659999999999997,10.459999999999996,MAN_COVERAGE,COVER_2_MAN,9,0.9,58.1100006103516,20.4099998474121,67,left,C,9,SLANT,1,15,EMPTY,3x2,0.498999952571467,True,deep-v1
2023091005_768_44851,2023091005,768,44851,Marcus Maye,FS,SINGLE_HIGH,1,13.91,1.6199999999999974,ZONE_COVERAGE,COVER_3_ZONE,12,1.2,29.2999992370605,12.3500003814697,40,left,C,11,OUT,1,10,SINGLEBACK,3x1,0.916341713280417,False,deep-v1
2023091005_793_40017,2023091005,793,40017,Tyrann Mathieu,FS,SPLIT_DEEP,2,10.55,11.38,ZONE_COVERAGE,COVER_4_ZONE,14,1.4,10.9700002670288,3.39000010490417,25,left,I,15,GO,1,10,EMPTY,3x2,-0.436934071476571,True,deep-v1
2023091005_1016_53529,2023091005,1016,53529,Elijah Molden,FS,SPLIT_DEEP,2,11.479999999999997,7.450000000000003,ZONE_COVERAGE,COVER_6_ZONE,23,2.3,64.0999984741211,48.3600006103516,36,right,I,29,CORNER,3,12,SHOTGUN,3x1,-1.29425723990425,False,deep-v1
2023091005_1721_44851,2023091005,1721,44851,Marcus Maye,FS,SINGLE_HIGH,1,15.659999999999997,2.729999999999997,ZONE_COVERAGE,COVER_3_ZONE,13,1.3,51.7000007629395,30.9300003051758,35,right,I,17,IN,1,10,I_FORM,2x1,-0.521014378638938,False,deep-v1
